央视频道,#genre#
CCTV-7,http://113.83.248.110:4200/rtp/239.77.0.138:5146$1920x1080
CCTV-7,http://113.83.248.110:4200/rtp/239.77.0.36:5146$720x576
CCTV-7,http://113.66.41.152:10000/rtp/239.77.0.36:5146$720x576
CCTV-8,http://113.83.248.110:4200/rtp/239.77.0.172:5146$1920x1080
CCTV-8,http://113.83.248.110:4200/rtp/239.77.0.37:5146$720x576
CCTV-8,http://113.66.41.152:10000/rtp/239.77.0.37:5146$720x576
CCTV-9,http://113.83.248.110:4200/rtp/239.77.1.160:5146$1920x1080
CCTV-9,http://113.83.248.110:4200/rtp/239.77.0.135:5146$1920x1080
CCTV-9,http://nas.hssvm.com:8888/udp/225.1.1.119:5002$1920x1080
CCTV-9,http://113.83.248.110:4200/rtp/239.77.0.38:5146$720x576
CCTV-9,http://113.66.41.152:10000/rtp/239.77.0.38:5146$720x576
CCTV-10,http://113.66.41.152:10000/rtp/239.77.1.169:5146$1920x1080
CCTV-10,http://113.83.248.110:4200/rtp/239.77.1.113:5146$1920x1080
CCTV-10,http://113.83.248.110:4200/rtp/239.77.0.134:5146$1920x1080
CCTV-10,http://113.83.248.110:4200/rtp/239.77.0.39:5146$720x576
CCTV-11,http://113.83.248.110:4200/rtp/239.77.1.238:5146$1920x1080
CCTV-11,http://113.83.248.110:4200/rtp/239.77.1.42:5146$720x576
CCTV-11,http://113.83.248.110:4200/rtp/239.77.0.40:5146$720x576
CCTV-11,http://113.66.41.152:10000/rtp/239.77.0.40:5146$720x576
CCTV-11,http://113.87.227.200:5000/rtp/239.77.1.42:5146$720x576
CCTV-11,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8$426x240
CCTV-12,http://113.83.248.110:4200/rtp/239.77.1.109:5146$1920x1080
CCTV-12,http://113.83.248.110:4200/rtp/239.77.0.136:5146$1920x1080
CCTV-12,http://113.83.248.110:4200/rtp/239.77.1.10:5146$1920x1080
CCTV-12,http://113.83.248.110:4200/rtp/239.77.0.41:5146$720x576
CCTV-12,http://113.66.41.152:10000/rtp/239.77.0.41:5146$720x576
CCTV-13,http://113.83.248.110:4200/rtp/239.77.0.188:5146$1920x1080
CCTV-13,http://113.87.227.200:5000/rtp/239.253.43.196:5146$1920x1080
CCTV-13,http://113.83.248.110:4200/rtp/239.77.0.42:5146$720x576
CCTV-13,http://113.87.227.200:5000/rtp/239.77.0.42:5146$720x576
CCTV-13,http://113.66.41.152:10000/rtp/239.77.0.42:5146$720x576
CCTV-13,http://stream.smntv.cn/smtv1/playlist.m3u8$320x240
CCTV-14,http://113.83.248.110:4200/rtp/239.77.1.161:5146$1920x1080
CCTV-14,http://113.83.248.110:4200/rtp/239.77.0.133:5146$1920x1080
CCTV-14,http://113.83.248.110:4200/rtp/239.77.0.43:5146$720x576
CCTV-14,http://113.66.41.152:10000/rtp/239.77.0.43:5146$720x576
CCTV-14,http://113.94.58.61:10010/rtp/239.77.0.43:5146$720x576
CCTV-15,http://113.83.248.110:4200/rtp/239.77.1.239:5146$1920x1080
CCTV-15,http://113.83.248.110:4200/rtp/239.77.0.44:5146$720x576
CCTV-15,http://113.66.41.152:10000/rtp/239.77.0.44:5146$720x576
CCTV-16,http://113.83.248.110:4200/rtp/239.77.1.98:5146$3840x2160
CCTV-16,http://113.83.248.110:4200/rtp/239.77.0.165:5146$1920x1080
CCTV-16,http://113.83.248.110:4200/rtp/239.77.1.76:5146$1920x1080
CCTV-16,http://113.66.41.152:10000/rtp/239.77.0.165:5146$1920x1080
CCTV-16,http://114.243.99.53:4000/rtp/239.3.1.184:8001$1920x1080
CCTV-17,http://113.83.248.110:4200/rtp/239.77.0.198:5146$1920x1080
CCTV-17,http://113.83.248.110:4200/rtp/239.77.0.115:5146$720x576
体育,#genre#
五星体育,https://stream1.freetv.fun/ipv6-wu-xing-ti-yu-6.m3u8
五星体育,https://stream1.freetv.fun/ipv6-wu-xing-ti-yu-8.m3u8
五星体育,https://stream1.freetv.fun/ipv6-wu-xing-ti-yu-2.m3u8
五星体育,https://stream1.freetv.fun/ipv6-wu-xing-ti-yu-3.m3u8
五星体育,https://stream1.freetv.fun/ipv6-wu-xing-ti-yu-1.m3u8
五星体育,https://stream1.freetv.fun/ipv6-wu-xing-ti-yu-7.m3u8
魅力足球,https://stream1.freetv.fun/ipv6-mei-li-zu-qiu-1.m3u8
魅力足球,https://stream1.freetv.fun/ipv6-mei-li-zu-qiu-4.m3u8
魅力足球,https://stream1.freetv.fun/ipv6-mei-li-zu-qiu-5.m3u8
港·澳·台,#genre#
翡翠台,http://113.83.152.56:8182/bynumber/1$1920x1080
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn$1920x1080
翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct$1920x1080
翡翠台,http://metatvpro.xyz:25461/W1045/4329/12205$1920x1080
明珠台,http://metatvpro.xyz:25461/W1045/4329/12207$1280x720
明珠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=mzt$1280x720
明珠台,http://php.jdshipin.com:8880/smt.php?id=pearl_twn$1280x720
星河台,https://edge6a.v2h-cdn.com/xinghe/xinghe.stream/chunklist.m3u8$1280x720
凤凰中文,http://ayolee.com:5253/udp/239.93.0.162:2192$1920x1080
凤凰中文,http://pi.0472.org/tv/cbn.php?id=xfjcHD$1280x720
凤凰中文,http://metatvpro.xyz:25461/W1045/4329/61$1280x720
凤凰中文,http://php.jdshipin.com:8880/smt.php?id=phoenixtv_hd$1280x720
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8$1280x720
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx$1280x720
凤凰资讯,http://php.jdshipin.com:8880/smt.php?id=phoenixinfo_hd$1280x720
凤凰香港,http://php.jdshipin.com:8880/smt.php?id=hkphoenix_twn$1920x1080
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk$1280x720
凤凰香港,http://metatvpro.xyz:25461/W1045/4329/12212$854x480
TVBS亚洲,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8$1920x1080
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?$1920x1080
TVBS新闻,http://4gtv.mumi.rip:9877/291/4gtv-4gtv072/index.m3u8$640x360
TVBS欢乐,http://4gtv.mumi.rip:9877/184/4gtv-4gtv068/index.m3u8$854x480
